temperature,rainfall,humidity,pressure,today_raining,tomorrow_raining
29.0,1.38,75.7,1009.6,0,0
23.9,1.85,24.4,1009.8,0,0
30.2,6.47,74.3,1046.5,1,1
37.2,4.33,55.3,1025.1,1,0
23.1,0.23,74.1,1050.2,1,1
23.1,0.62,75.5,1005.5,0,1
37.6,3.58,92.2,1011.7,0,0
31.1,3.48,87.1,993.0,0,0
21.2,0.64,86.9,1000.9,1,1
29.3,2.62,88.9,1041.5,1,0
21.3,2.23,65.8,1005.2,0,1
21.3,1.28,60.6,1041.8,0,0
26.9,0.45,77.5,994.3,0,0
9.7,4.39,74.6,997.2,0,1
11.2,2.27,53.8,1007.9,1,1
20.5,0.37,68.1,1012.0,1,0
16.9,2.44,59.3,1026.8,0,0
27.5,2.71,42.9,1019.8,1,0
17.7,4.36,85.8,1006.8,1,1
13.7,0.5,61.1,1011.0,1,1
36.7,8.98,100.0,1008.2,1,1
23.2,0.33,27.5,999.3,0,0
25.5,1.84,48.9,999.7,1,1
13.6,2.14,60.7,1028.4,1,1
20.6,1.09,82.7,985.6,0,0
25.9,1.29,68.0,1037.3,0,1
15.8,4.43,66.2,1007.9,1,1
28.0,2.07,37.5,1001.4,0,0
20.2,1.37,36.9,1024.1,0,0
22.7,0.27,66.5,1035.3,1,0
20.2,0.01,32.7,1029.8,0,0
39.8,0.27,49.4,1020.5,0,0
24.9,6.26,70.0,1029.3,0,1
16.5,2.89,40.4,987.3,0,1
31.6,6.83,92.1,1005.2,1,1
15.2,0.07,84.5,999.3,1,0
26.7,2.28,28.6,1031.4,1,1
9.3,0.09,41.4,1007.2,0,1
14.4,3.05,14.3,1025.7,0,0
26.6,0.96,44.3,1021.0,0,0
30.9,0.2,75.3,1000.1,0,1
26.4,1.68,51.7,1004.2,0,0
24.1,0.66,69.2,1032.4,0,0
22.6,2.16,29.6,1001.4,1,1
13.2,2.15,76.0,1014.9,1,1
19.2,2.44,48.9,1001.3,1,1
21.3,9.78,60.2,1008.3,1,1
33.5,0.98,58.1,1012.3,0,1
27.7,1.25,34.6,1001.3,1,1
10.9,3.27,36.9,998.6,1,0
27.6,1.73,79.4,1017.3,1,1
21.9,0.08,68.0,1000.3,1,1
19.6,3.7,81.0,1000.8,0,0
29.9,0.11,66.5,998.9,0,1
33.2,0.37,62.9,1011.8,0,0
32.5,0.22,25.5,1027.2,0,0
18.3,0.16,54.6,1035.6,0,0
22.5,0.05,59.5,1002.1,0,1
27.7,0.11,99.1,1045.3,0,0
32.8,1.17,73.7,997.9,0,0
21.2,0.58,90.7,1029.3,1,0
23.5,0.27,72.0,1002.2,0,0
16.1,2.15,45.8,999.9,0,1
15.4,0.51,62.3,1001.8,1,0
31.5,0.04,64.7,1012.2,0,0
35.8,1.08,41.2,1021.7,0,0
24.4,0.74,52.3,1023.0,0,0
33.0,0.77,55.9,998.8,1,0
27.9,1.18,92.1,998.2,0,0
19.8,2.21,18.4,999.3,1,0
27.9,1.92,84.1,1011.3,0,0
37.3,5.54,41.3,1009.8,1,1
24.7,1.46,32.6,998.7,0,0
37.5,1.28,83.6,1017.0,0,0
4.0,0.48,74.6,1046.9,0,0
31.6,2.82,85.1,1005.4,0,1
25.7,0.3,76.0,1006.5,1,1
22.6,1.35,100.0,1021.4,1,1
25.7,1.09,71.2,1004.6,0,0
9.1,2.15,56.9,1023.0,0,0
23.2,4.99,66.9,1002.2,1,1
27.9,5.86,84.9,1040.5,1,1
36.8,0.37,44.4,1018.2,0,0
20.9,0.61,47.0,1003.7,1,1
18.5,3.34,53.8,1004.2,0,1
21.0,1.46,17.9,1005.3,1,1
32.3,1.21,62.8,1033.6,0,1
27.6,2.48,22.3,994.0,0,0
